Unnamed: 0	index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence_A	sentence_B	label1	label
348280	348280	113038	113038c	government	( ( Before ( ( any ( legal action ) ) ( is ( brought ( against ( ( this rule ) ( in ( federal court ) ) ) ) ) ) ) ) ( , ( ( the ( administrative ( appeal rights ) ) ) ( ( set forth ) ( at ( 7 C.F.R. ) ) ) ) ) )	( ( Before ( we ( ( send this ) ( to ( federal court ) ) ) ) ) ( , ( there ( ( is ( a conference ) ) . ) ) ) )	(ROOT (S (SBAR (IN Before) (S (NP (DT any) (JJ legal) (NN action)) (VP (VBZ is) (VP (VBN brought) (PP (IN against) (NP (NP (DT this) (NN rule)) (PP (IN in) (NP (JJ federal) (NN court))))))))) (, ,) (NP (DT the) (JJ administrative) (NN appeal) (NNS rights)) (VP (VBD set) (ADVP (RB forth)) (PP (IN at) (NP (CD 7) (NN C.F.R.))))))	(ROOT (S (SBAR (IN Before) (S (NP (PRP we)) (VP (VB send) (NP (DT this)) (PP (TO to) (NP (JJ federal) (NN court)))))) (, ,) (NP (EX there)) (VP (VBZ is) (NP (DT a) (NN conference))) (. .)))	Before any legal action is brought against this rule in federal court, the administrative appeal rights set forth at 7 C.F.R.	Before we send this to federal court, there is a conference.	contradiction	contradiction
339179	339179	34735	34735e	travel	( ( ( ( Walk along ) ( past ( the battery ) ) ) ( to ( ( ( the ( Cart Shed ) ) , ) ( ( built ( in ( ( the aftermath ) ( of ( the ( Jacobian uprising ) ) ) ) ) ) ( in 1746 ) ) ) ) ) . )	( ( The ( Jacobian uprising ) ) ( ( ( took place ) ( in 1746 ) ) . ) )	(ROOT (S (VP (VBP Walk) (PRT (RP along)) (NP (JJ past) (DT the) (NN battery)) (PP (TO to) (NP (NP (DT the) (NNP Cart) (NNP Shed)) (, ,) (VP (VBN built) (PP (IN in) (NP (NP (DT the) (NN aftermath)) (PP (IN of) (NP (DT the) (NNP Jacobian) (NN uprising))))) (PP (IN in) (NP (CD 1746))))))) (. .)))	(ROOT (S (NP (DT The) (NNP Jacobian) (NN uprising)) (VP (VBD took) (NP (NN place)) (PP (IN in) (NP (CD 1746)))) (. .)))	Walk along past the battery to the Cart Shed, built in the aftermath of the Jacobian uprising in 1746.	The Jacobian uprising took place in 1746.	entailment	entailment
73852	73852	6049	6049n	fiction	( White ( ( ( put down ) ( a ( little ( cover fire ) ) ) ) . ) )	( White ( ( ( ( put down ) ( cover fire ) ) ( so ( they ( could ( go ( in ( the train ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (NNP White)) (VP (VBD put) (PRT (RP down)) (NP (DT a) (JJ little) (NN cover) (NN fire))) (. .)))	(ROOT (S (NP (NNP White)) (VP (VBD put) (PRT (RP down)) (NP (NN cover) (NN fire)) (SBAR (IN so) (S (NP (PRP they)) (VP (MD could) (VP (VB go) (PP (IN in) (NP (DT the) (NN train)))))))) (. .)))	White put down a little cover fire.	White put down cover fire so they could go in the train.	neutral	neutral
239590	239590	81380	81380c	slate	( ( The ( Washington Post ) ) ( ( wins ( big ( with ( its ( comprehensive ( China ( trip ( Web ( links page ) ) ) ) ) ) ) ) ) . ) )	( ( The ( Washington Post ) ) ( ( has ( ( good points ) ( with ( its ( comprehensive ( Austria ( trip ( Web ( links page ) ) ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (DT The) (NNP Washington) (NNP Post)) (VP (VBZ wins) (ADJP (JJ big) (PP (IN with) (NP (PRP$ its) (JJ comprehensive) (NNP China) (NN trip) (NN Web) (NNS links) (NN page))))) (. .)))	(ROOT (S (NP (DT The) (NNP Washington) (NNP Post)) (VP (VBZ has) (NP (NP (JJ good) (NNS points)) (PP (IN with) (NP (PRP$ its) (JJ comprehensive) (NNP Austria) (NN trip) (NN Web) (NNS links) (NN page))))) (. .)))	The Washington Post wins big with its comprehensive China trip Web links page.	The Washington Post has good points with its comprehensive Austria trip Web links page.	contradiction	contradiction
130287	130287	99692	99692e	telephone	( um ( have ( you ( ( done ( your ( attitude survey ) ) ) ( for ( this ( year yet ) ) ) ) ) ) )	( ( So far ) ( ( ( have you ) ( managed ( to ( complete ( your ( attitude survey ) ) ) ) ) ) ? ) )	(ROOT (S (NP (NN um)) (VP (VBP have) (S (NP (PRP you)) (VP (VBN done) (NP (PRP$ your) (NN attitude) (NN survey)) (PP (IN for) (NP (DT this) (NN year) (RB yet))))))))	(ROOT (SINV (ADVP (RB So) (RB far)) (VBP have) (NP (PRP you)) (VP (VBN managed) (S (VP (TO to) (VP (VB complete) (NP (PRP$ your) (NN attitude) (NN survey)))))) (. ?)))	um have you done your attitude survey for this year yet	So far have you managed to complete your attitude survey?	entailment	entailment
154402	154402	139796	139796n	fiction	( I ( ( 've ( ( protected her ) ( ( as much ) ( as ( I could ) ) ) ) ) . ) )	( I ( ( ( have n't ) ( protected ( her enough ) ) ) . ) )	(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN protected) (NP (PRP her)) (ADVP (ADVP (RB as) (RB much)) (SBAR (IN as) (S (NP (PRP I)) (VP (MD could))))))) (. .)))	(ROOT (S (NP (PRP I)) (VP (VBP have) (RB n't) (VP (VBN protected) (NP (PRP$ her) (NN enough)))) (. .)))	I've protected her as much as I could. 	I haven't protected her enough.	neutral	neutral
390247	390247	5865	5865c	government	( ( IRS ( Systems ( Security ( and ( Employee Browsing ) ) ) ) ) ( ( Not ( Being ( Addressed ( Effectively ( and ( Budget Requests ) ) ) ) ) ) ( for ( ( ( New ( Systems Development ) ) ( Not Justified ) ) ( -LRB- ( ( ( ( GAO/T-AIMD ( -97 -82 ) ) , ) ( ( ( April 15 ) , ) 1997 ) ) -RRB- ) ) ) ) ) )	( ( IRS ( systems security ) ) ( ( is ( being ( addressed effectively ) ) ) . ) )	(ROOT (NP (NP (NNP IRS) (NNPS Systems) (NNP Security) (CC and) (NNP Employee) (NNP Browsing)) (NP (NP (RB Not) (JJ Being) (NNP Addressed) (NNP Effectively) (CC and) (NNP Budget) (NNP Requests)) (PP (IN for) (NP (NP (NP (NNP New) (NNPS Systems) (NNP Development)) (ADJP (RB Not) (JJ Justified))) (PRN (-LRB- -LRB-) (NP (NP (NNP GAO/T-AIMD) (NNP -97) (NNP -82)) (, ,) (NP (NNP April) (CD 15) (, ,) (CD 1997))) (-RRB- -RRB-)))))))	(ROOT (S (NP (NNP IRS) (NNS systems) (NN security)) (VP (VBZ is) (VP (VBG being) (VP (VBN addressed) (ADVP (RB effectively))))) (. .)))	IRS Systems Security and  Employee Browsing Not Being Addressed Effectively and Budget Requests for New Systems Development Not Justified (GAO/T-AIMD-97-82, April 15, 1997)	IRS systems security is being addressed effectively. 	contradiction	contradiction
280355	280355	55081	55081e	telephone	( if ( ( he ( if ( he ( had ( enough ( snap ( to ( do ( that ( he ( knew ( what ( he ( was ( doing ( ( the penalty ) assessed ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( is ( death period ) ) ) )	( ( The penalty ) ( ( has ( been assessed ) ) . ) )	(ROOT (SBAR (IN if) (S (NP (NP (PRP he)) (SBAR (IN if) (S (NP (PRP he)) (VP (VBD had) (NP (JJ enough) (NN snap) (S (VP (TO to) (VP (VB do) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD knew) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD was) (VP (VBG doing) (NP (NP (DT the) (NN penalty)) (VP (VBN assessed)))))))))))))))))) (VP (VBZ is) (NP (NN death) (NN period))))))	(ROOT (S (NP (DT The) (NN penalty)) (VP (VBZ has) (VP (VBN been) (VP (VBN assessed)))) (. .)))	if he if he had enough snap to do that he knew what he was doing the penalty assessed is death period	The penalty has been assessed.	entailment	entailment
141232	141232	32514	32514c	fiction	( ( That one ) ( ( 's ( ( ( ( ( chewin ' ) ( th ( ' bit ) ) ) an ) ' ) ( ( gittin ' ) ( ready ( to ( hump ( under ( ( th ' ) saddle ) ) ) ) ) ) ) ) . ) )	( There ( ( was ( one ( that ( was singing ) ) ) ) . ) )	(ROOT (S (NP (DT That) (NN one)) (VP (VBZ 's) (NP (NP (NP (NN chewin) (POS ')) (NN th) ('' ') (NN bit)) (, an) ('' ') (NP (NP (NN gittin) (POS ')) (NN ready) (S (VP (TO to) (VP (VB hump) (PP (IN under) (NP (NP (NNP th) (POS ')) (NN saddle))))))))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBD was) (NP (NP (CD one)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (VP (VBG singing))))))) (. .)))	That one's chewin' th' bit an' gittin' ready to hump under th' saddle.	There was one that was singing.	contradiction	contradiction
89979	89979	18488	18488e	telephone	( ( i ( never ( thought ( i ( would ( get ( rusty ( but i ) ) ) ) ) ) ) ) ( ( 'm rusty ) now ) )	( ( ( ( I ( ( did n't ) ( think ( I ( 'd ( get rusty ) ) ) ) ) ) but ) ( I am ) ) . )	(ROOT (SINV (S (NP (FW i)) (ADVP (RB never)) (VP (VBD thought) (SBAR (S (NP (FW i)) (VP (MD would) (VP (VB get) (NP (NP (JJ rusty)) (PP (CC but) (NP (FW i)))))))))) (VP (VBP 'm) (ADJP (JJ rusty))) (NP (RB now))))	(ROOT (S (S (NP (PRP I)) (VP (VBD did) (RB n't) (VP (VB think) (SBAR (S (NP (PRP I)) (VP (MD 'd) (VP (VB get) (NP (JJ rusty))))))))) (CC but) (S (NP (PRP I)) (VP (VBP am))) (. .)))	i never thought i would get rusty but i'm rusty now	I didn't think I'd get rusty but I am.	entailment	entailment
