	Unnamed: 0	sentence_A	sentence_B	label	idx
54	54	Her priggishness. I admire it. I know she does wrong things she tries to organize other people's lives she can't see Mr Knightley is a man in a million.	Mr Knightley is a man in a million	entailment	54
66	66	Why should this topic matter? You talked about everything else as you usually do. Why should I feel Maelmuire is important?	Maelmuire is important	contradiction	66
173	173	A: Uh, well, it would depend on when you go it's not excessively crowded on the weekends. B: See I'd want to be there in the mornings like from nine thirty to ten thirty. A: Oh, I don't think that would be bad at all.	that would be bad	contradiction	173
247	247	Richard Breeden had n't noticed that his new desk had just four telephone lines and one phone .	Richard Breeden's new desk had just four telephone lines and one phone	entailment	247
214	214	B: So am I. A: Are you, B: You know, I think it's kind of coming back around to that, don't you,	it's kind of coming back around to that	entailment	214
104	104	``For such a person, finding a protector might not be so difficult, even in Edinburgh.'' Jean smiled. He might have known that even someone as sensible as Miss van Wiliamsburgh would try to make a play of this sort.	even someone as sensible as Miss van Williamsburgh would try to make a play of this sort	entailment	104
230	230	A: so I watch the fish, you know. Whatever I can do to keep myself occupied. I like to have the TV on, because that usually keeps me, um, more occupied. It kind of takes the time away and I don't realize, that's really the only time I ever watch TV, is when I'm on the bike. and then usually after I'm done riding the bike, just to cool myself down, I usually take a walk, you know, and that just kind of uh, gets me, you know, to where I'm not quite as tired I guess. But it's definitely a task. B: You think so? A: I can't say that I really enjoy it.	she really enjoys it	contradiction	230
61	61	The big Norwegian shook his head, frowning. ``Jeg fonstAr ikke.'' I don't think he found Ward's accent at all easy and anyway like many foreigners he found it easier to speak English than to understand it.	the big Norwegian found Ward's accent at all easy	contradiction	61
91	91	He also liked swimming and cycling. He said that he wrote stories, though he had to admit that he had never got further than the first two pages. Willie meanwhile not only remained silent during these conversations but picked his berries slowly so that they might forget that he was there but he reckoned without Zach.	Willie was there	entailment	91
125	125	B: And I've worked in the hospital for fifteen years and I've taken care of a few AIDS patients. A: Uh-huh. B: Uh, when they asked us did we want to, uh, keep it the same or, uh, spend more, spend less, uh, I think right now what they're spending is adequate. Uh, for my personal opinion. Uh, because I think it's something that's going to take them a while to come up with a, uh, vaccine for. A: Yeah.  Uh-huh.  Uh-huh. B: I don't think it's going to be that easy to come up with	it is going to be that easy to come up with	contradiction	125
225	225	A: No, not really. I spends a lot of time with our income tax, though. especially, this year and last year. Um, I have been married for just a few years, so I've had to really switch around from the EZ form to the, uh, B: Schedule A. A: Right. B: Well, yeah. A: All the deductions and all that. B: Did you notice that when they passed the new simplified tax act, it seemed like it made everything harder?	when they passed the new simplified tax act  it seemed like it made everything harder	entailment	225
105	105	L. Underneath, in purple ink, had been added. ``And love, Fenella'', with a capital X as a kiss. I might have known Lisabeth wouldn't have walked up the stairs herself to leave the note.	Lisabeth wouldn't have walked up the stairs herself to leave a note	entailment	105
32	32	His mother driving the car, so happy, young-looking and fashionably dressed and his father, a big, confident man in a smart suit, smiling and turning round to say something to Simon in the back seat. Marie thought of her own mother with her frumpy clothes and ageing, lined face. No one would have guessed that she was only forty-two.	Marie's mother was only forty-two	entailment	32
238	238	B: Well, I was never there for any sentencing. Uh, I finally got empaneled on one case, uh, on my next to the last day, and, uh, we got into the, uh, jury room to, uh, decide the case, and there was one guy on the jury who announced to everybody that he didn't need to deliberate, because he'd already decided that the guy was, uh, not guilty, and he would never vote for guilty. A: Huh. B: So, uh, they appointed me jury foreman and I, uh, didn't think that, uh, going in without deliberating allowed us to reach a verdict,	going in without deliberating allowed them to reach a verdict	contradiction	238
199	199	B: um, they try to encourage you to follow a specific curriculum, although you don't have to. A: Uh-huh. B: And then if you have particular religious beliefs they're kind of monitored. You know, they will allow you to, I can't think of any examples but certain religious groups don't want their children in public schools because the influence. And maybe they were a group of Mennonites or something like that. A: Uh-huh. B: I don't think they're were in this area	they were in this area	contradiction	199
217	217	A: Uh, I saw Seven Eleven that was hiring. B: Well, I'm sure with the new, uh, contract awarding I think it went to Lockheed, didn't it?	the contract went to Lockheed	entailment	217
120	120	B: boy, he's a big one. A: he's pretty big. That's why it really surprises me, you know, that he hasn't come back, because, like I said, he's never gone away like this before, and, I would think, you know, I mean, he might could get hurt by a car or something. I don't know that he could really get killed that easily because he is so big.	he could really get killed that easily	contradiction	120
5	5	Look, my dear, I'm not in my dotage yet, and I know I'm a grumbler and a complainer. You could say the only form of comfort I 've got are my complaints.	the only form of comfort he has are his complaints	entailment	5
55	55	Only she herself knew the evil thoughts she had and how effortlessly they could be translated into action. ``I 'll make a cup of tea.'' No she would not tell Peter that the person he loved most in the world was dead.	the person Peter loved most in the world was dead	entailment	55
