	Unnamed: 0	sentence_A	sentence_B	label	idx
54	54	Her priggishness. I admire it. I know she does wrong things she tries to organize other people's lives she can't see Mr Knightley is a man in a million.	Mr Knightley is a man in a million	entailment	54
66	66	Why should this topic matter? You talked about everything else as you usually do. Why should I feel Maelmuire is important?	Maelmuire is important	contradiction	66
173	173	A: Uh, well, it would depend on when you go it's not excessively crowded on the weekends. B: See I'd want to be there in the mornings like from nine thirty to ten thirty. A: Oh, I don't think that would be bad at all.	that would be bad	contradiction	173
247	247	Richard Breeden had n't noticed that his new desk had just four telephone lines and one phone .	Richard Breeden's new desk had just four telephone lines and one phone	entailment	247
214	214	B: So am I. A: Are you, B: You know, I think it's kind of coming back around to that, don't you,	it's kind of coming back around to that	entailment	214
104	104	``For such a person, finding a protector might not be so difficult, even in Edinburgh.'' Jean smiled. He might have known that even someone as sensible as Miss van Wiliamsburgh would try to make a play of this sort.	even someone as sensible as Miss van Williamsburgh would try to make a play of this sort	entailment	104
230	230	A: so I watch the fish, you know. Whatever I can do to keep myself occupied. I like to have the TV on, because that usually keeps me, um, more occupied. It kind of takes the time away and I don't realize, that's really the only time I ever watch TV, is when I'm on the bike. and then usually after I'm done riding the bike, just to cool myself down, I usually take a walk, you know, and that just kind of uh, gets me, you know, to where I'm not quite as tired I guess. But it's definitely a task. B: You think so? A: I can't say that I really enjoy it.	she really enjoys it	contradiction	230
61	61	The big Norwegian shook his head, frowning. ``Jeg fonstAr ikke.'' I don't think he found Ward's accent at all easy and anyway like many foreigners he found it easier to speak English than to understand it.	the big Norwegian found Ward's accent at all easy	contradiction	61
91	91	He also liked swimming and cycling. He said that he wrote stories, though he had to admit that he had never got further than the first two pages. Willie meanwhile not only remained silent during these conversations but picked his berries slowly so that they might forget that he was there but he reckoned without Zach.	Willie was there	entailment	91
125	125	B: And I've worked in the hospital for fifteen years and I've taken care of a few AIDS patients. A: Uh-huh. B: Uh, when they asked us did we want to, uh, keep it the same or, uh, spend more, spend less, uh, I think right now what they're spending is adequate. Uh, for my personal opinion. Uh, because I think it's something that's going to take them a while to come up with a, uh, vaccine for. A: Yeah.  Uh-huh.  Uh-huh. B: I don't think it's going to be that easy to come up with	it is going to be that easy to come up with	contradiction	125
